Country,Emissions Classifier,Emissions Percentile,2019 CO2 Level (Training Data),CO2Avg (Metric Tons/Capita),CO2Growth Avg.,GDP Avg. (Billion $),GDP Growth Avg.,Population Avg. (million),Population Growth Avg.,HDI Avg.,HDI Growth Avg.,"Average % of GDP of Ag, For, Fish(Agriculture)","Average % of GDP of Ag, For, Fish(Agriculture) Growth Rate Avg.",Export Fuel and Mining Avg.,Export Fuel and Mining Growth Rate Avg.,Export Manufactures Avg.,Export Manufactures Growth Rate Avg.,Import Fuel and Mining Avg.,Import Fuel and Mining Growth Avg.,Import Manufactures Millions($) Avg.,Import Manufactures Millions($) Growth Avg.,Inflation Rate Avg.,Inflation Rate Growth Rate Avg.
Brazil,Low,0.453,2.133372,2.239,-0.0342,9743.39,-0.0728,206.14,0.0083,0.7586,0.00238,0.01896,-0.00608,45976.4,0.037,71489.4,-0.021,34030.2,-0.031,134436,-0.025,6.24,-0.03
Barbados,Medium,0.658,4.394516,4.437,-0.0384,17010.19,0.015,0.29,0.0016,0.8096,0.000743,0,0,110.6,-0.003,268.4,0.037,349.6,-0.025,909.2,-0.018,2.05,-0.28
Brunei Darussalam,High,0.974,16.71777,15.829,-0.012,32049.68,-0.0825,0.42,0.0119,0.8378,-0.000715,0.03098,0.066483,6191.6,-0.084,553.8,0.189,314,0.035,2514,0.067,-0.24,0.22
Bhutan,Low,0.363,1.724877,1.582,0.0785,2973.1,0.052,0.74,0.0121,0.6356,0.01248,0.29536,0.024648,201.5,0.000,236,0.000,219,0.000,599.5,0.000,4.74,-0.09
Botswana,Medium,0.568,3.596592,3.464,0.0543,7136.2,0.0038,2.17,0.0179,0.7208,0.008146,0.05144,-0.03115,319.8,-0.350,6210.8,-0.010,1010.6,-0.099,4693.8,-0.026,3.37,-0.10
Central African Republic,Low,0.021,0.070015,0.069,0.0092,426.18,0.0403,4.55,0.0096,0.3822,0.017051,-0.54886,-0.00758,7,0.000,48.2,0.000,7.8,1.010,258.6,0.361,5.41,0.40
Canada,High,0.953,15.56845,15.527,-0.0047,45709.12,-0.0278,36.17,0.011,0.9232,0.003265,0.02267,-0.02873,119311.2,-0.001,209700.2,0.008,46494.6,-0.022,333458.2,0.008,1.67,0.29
Switzerland,Medium,0.674,4.49196,4.653,-0.0414,85454.92,-0.0045,8.36,0.0103,0.655,0.002443,-0.01325,-0.00915,7869.8,-0.062,210323,0.024,14619,-0.065,167342.4,0.026,-0.02,16.52
Chile,Medium,0.668,4.560195,4.586,-0.0055,14577.14,-0.0017,18.23,0.0128,0.844,0.005516,-0.03722,0.006235,36899.4,-0.008,9295.8,0.002,11684.2,-0.027,48413.6,-0.001,3.49,0.22
China,Medium,0.821,7.324368,7.187,0.0016,8493.85,0.0659,1378.66,0.0052,0.7442,0.008423,-0.32009,-0.04908,62205,0.072,2150353.8,0.025,443085.6,0.037,1148391.4,0.032,1.81,-0.01
Cote d'Ivoire,Low,0.158,0.395369,0.404,0.0046,2113.53,0.0327,23.84,0.0256,0.8418,0.004302,1.06136,0.053546,1940.8,-0.043,1555,-0.119,2157.6,-0.002,5709.4,-0.028,0.69,0.00
Cameroon,Low,0.142,0.341811,0.345,0.0042,1490.93,0.0041,23.94,0.0269,0.5518,0.009562,-0.06541,-0.00286,1814.2,0.644,294.8,-0.023,1093.6,-0.163,3424.8,0.067,1.42,0.02
"Congo, Dem. Rep.",Low,0.005,0.033922,0.037,-0.1909,496.66,0.0367,78.85,0.0333,0.573,0.010225,0.09879,-0.00334,6893.75,0.000,4982.75,0.000,654.5,0.000,5177.75,0.000,1.62,0.00
"Congo, Rep.",Low,0.247,0.663456,0.697,-0.0735,2610.33,-0.1085,4.99,0.0256,0.4696,0.013075,0.47238,0.086314,4276.8,0.332,4454.6,0.055,248.4,0.391,7156.2,-0.111,1.77,0.48
Colombia,Low,0.379,1.620414,1.66,-0.0103,6653.46,-0.0494,48.24,0.0132,0.7592,0.005872,0.15575,0.026732,23307.4,-0.042,8266.4,-0.032,5597.2,-0.081,39426.2,-0.018,4.59,0.20
Comoros,Low,0.116,0.292042,0.263,0.043,1356.31,-0.0155,0.8,0.0234,0.5474,0.003664,0.74172,0.017687,0,0.000,7.4,0.889,10.8,0.514,104.6,0.138,0.00,0.00
Cabo Verde,Low,0.305,1.105108,1.038,0.0257,3333.8,-0.004,0.53,0.0122,0.658,0.004903,-0.54476,-0.10059,0,0.000,8.8,0.208,90.2,-0.048,403.4,0.087,0.11,-3.08
Costa Rica,Low,0.368,1.648311,1.628,0.0008,11842.43,0.0294,4.9,0.0106,0.8012,0.00503,-0.08081,-0.01361,147.2,0.021,5694.2,-0.016,1878.2,-0.033,12085,-0.017,1.83,-19.13
Cyprus,Medium,0.768,6.035093,6.015,0.0167,26224.12,0.0071,1.17,0.0078,0.8932,0.003603,-0.02338,-0.03833,712.4,0.259,2345.8,0.310,1652.6,0.070,5575.6,0.190,-0.58,0.59
Czech Republic,High,0.905,9.607988,9.638,-0.0028,20070.36,0.0262,10.57,0.0022,0.5134,0.017371,-0.09536,-0.04151,6749.8,-0.026,157375.2,0.056,15013.6,-0.018,130435.2,0.070,1.19,0.56
Germany,Medium,0.889,8.668068,8.937,-0.0244,44729.34,0.0035,82.12,0.0055,0.7938,0.007628,-0.04311,-0.07995,69135.2,-0.012,1243852.4,0.023,153651.2,-0.041,865402.2,0.037,1.03,0.27
Dominica,Low,0.495,2.516836,2.495,0.0088,7591.54,0.0161,0.07,0.0017,0.7388,-0.000266,-0.46962,-0.05625,4.5,0.000,23,0.000,41.5,0.000,108.5,0.000,0.28,-3.60
Denmark,Medium,0.753,5.8765,5.994,-0.0449,57933.97,-0.0022,5.72,0.0063,0.9356,0.001285,-0.07118,-0.07791,7485,-0.064,70940.6,0.021,7595,-0.035,68482.2,0.027,0.65,0.47
Dominican Republic,Low,0.458,2.310477,2.264,0.0208,7294.25,0.0497,10.4,0.0113,0.7416,0.009037,-0.00913,-0.00658,663,-0.024,5082.6,0.023,3492.6,-0.001,11322,0.066,2.46,0.19
Algeria,Medium,0.574,3.586568,3.575,0.0101,4373.82,-0.0654,40.56,0.0206,0.742,0.004625,0.31756,0.035378,38797.2,-0.061,1216.8,0.369,3067.4,-0.038,35882.6,-0.042,4.79,0.10
Ecuador,Low,0.474,2.367605,2.405,-0.0172,6214.22,0.0072,16.5,0.0169,0.76,0.00213,-0.03545,0.003561,8449.2,-0.037,1291.8,-0.025,4608.6,-0.012,14703,-0.015,1.90,-0.49
"Egypt, Arab Rep.",Low,0.484,2.480817,2.459,0.0099,3088.76,-0.0659,94.44,0.0217,0.6942,0.005219,-0.02254,-0.0011,6161.8,0.042,12596.6,0.013,13450,0.076,35131.4,0.029,15.63,0.21
Spain,Medium,0.711,5.453094,5.438,0.0107,28029.85,0.0058,46.56,0.0008,0.4258,0.0005,0.04425,0.009255,33861.4,0.030,218969.6,0.023,62921.2,-0.007,237573.2,0.054,0.56,-2.04
Estonia,High,0.926,12.39367,12.319,-0.04,19870.33,0.0325,1.32,0.0006,0.4554,0.004505,-0.18865,-0.07909,1872,0.135,10319.8,0.004,2153.2,0.106,12147.2,0.007,1.28,4.66
Ethiopia,Low,0.058,0.14438,0.138,0.0611,692.93,0.0823,103.63,0.0275,0.5878,0.017783,-1.4817,-0.0582,11,-0.142,285.8,0.006,1908.6,-0.013,11052.8,0.019,9.52,0.18
Finland,Medium,0.868,8.124576,8.087,-0.0298,46618.26,-0.0033,5.49,0.0028,0.738,0.003819,-0.00233,0.001058,9443.8,0.008,48699,0.030,14309.8,-0.005,45764.4,0.032,0.61,-0.53
Fiji,Low,0.426,2.022834,1.892,0.0938,5813.21,0.0501,0.87,0.0041,0.4672,0.013506,0.56161,0.001213,227,-0.036,249.4,0.054,549.6,0.013,1518.6,0.025,2.64,0.54
France,Medium,0.679,4.613868,4.658,-0.0211,39388.91,-0.0083,66.68,0.0029,0.9324,0.001933,0.0185,0.021811,29302.6,-0.003,429481.6,0.008,82109,-0.039,470339.8,0.015,0.72,1.59
"Micronesia, Fed. Sts.",Low,0.353,1.53901,1.469,0.0362,3150.15,0.0335,0.11,0.0124,0.74,0.002979,-0.47808,-0.03721,0,0.000,0,0.000,0,0.000,0,0.000,0.36,0.07
Gabon,Medium,0.505,2.324144,2.606,-0.0794,7844.4,-0.0485,2,0.0313,0.8954,0.002018,0.36295,0.092139,5137.2,-0.022,203.8,0.134,136.8,0.084,2243.6,-0.043,2.77,0.21
United Kingdom,Medium,0.742,5.603286,5.858,-0.0556,43839.21,-0.0026,65.57,0.0072,0.7064,0.007126,-0.03398,-0.02685,55418.6,-0.007,332560.4,0.011,76076.4,-0.021,464632,0.020,1.54,0.41
Georgia,Low,0.489,2.486281,2.491,0.0356,4379.07,0.0001,3.73,0.0005,0.4762,0.008431,-0.3528,-0.05295,507.8,0.172,1287,0.034,1618,0.034,5238.2,0.043,3.57,-1.18
Ghana,Low,0.184,0.538528,0.523,-0.0102,2018.69,-0.0151,28.49,0.0227,0.941,0.002342,-0.28944,-0.0246,3755.4,0.302,1059,-0.036,346.8,0.044,8656.4,-0.007,14.05,-0.04
Guinea,Low,0.1,0.241234,0.232,0.0438,819.89,0.0395,11.76,0.0265,0.653,0.01146,0.96042,0.044716,2174.2,0.596,158.8,-0.305,386.6,0.334,1989.8,0.361,8.96,0.01
"Gambia, The",Low,0.111,0.251374,0.25,0.0199,674.28,0.0054,2.15,0.0303,0.6896,0.007038,-0.51745,-0.0585,1.2,0.000,30.6,-0.301,100.2,0.147,153.2,0.149,6.91,0.03
Greece,Medium,0.789,6.143576,6.234,-0.0168,19171.98,-0.0235,10.8,-0.0043,0.5972,0.006744,0.01025,0.011419,13521.4,0.036,11700.2,0.044,17568.8,0.011,29101.6,0.041,-0.43,-0.52
Grenada,Medium,0.5,2.612588,2.521,-0.0266,9542.91,0.0572,0.11,0.006,0.8772,0.003218,-0.17924,0.000382,0.2,0.000,10,0.119,79.4,0.030,198,0.097,0.37,3.22
Guatemala,Low,0.311,1.073453,1.041,0.047,4176.01,0.0466,16.58,0.0203,0.77,0.003403,-0.12386,-0.01846,1043.4,-0.070,4500.6,0.027,3088.8,0.018,12166.2,0.026,3.69,0.04
Guyana,Medium,0.532,3.045465,2.898,0.0351,5813.23,0.022,0.77,0.0051,0.4666,0.008706,-1.01166,-0.06364,128,0.005,161,0.548,456,0.021,1020,0.122,0.77,-0.72
Honduras,Low,0.3,1.026491,1.025,-0.0095,2346.54,0.0347,9.27,0.0173,0.5002,0.00848,-0.18564,-0.01096,131.6,0.189,4938.6,0.021,1469.2,-0.051,7381,0.036,4.06,0.02
Croatia,Medium,0.626,4.015791,4.035,0.0019,13416.07,0.0149,4.17,-0.008,0.774,0.003888,0.00048,-0.03483,2147.8,0.032,9627.2,0.079,4022,-0.013,16242.6,0.077,0.16,-0.04
Haiti,Low,0.132,0.297515,0.304,0.0248,1392.16,0.0048,10.84,0.0135,0.6756,0.004171,0.16182,-0.00837,5.8,0.000,909.4,0.034,816.4,0.050,2025.4,0.120,8.97,0.30
Hungary,Medium,0.663,4.620003,4.512,0.0275,14235.6,0.0319,9.82,-0.0024,0.6246,0.006447,-0.08977,-0.02416,4922.4,0.104,94630.4,0.036,11807,0.036,84536.8,0.049,1.06,-0.82
Indonesia,Low,0.442,2.126929,1.981,0.0363,3623.52,0.013,261.48,0.0123,0.939,0.004068,-0.10565,-0.00853,47966.6,-0.026,70659.6,0.029,34603.4,-0.018,102241.2,0.025,4.66,-0.11
India,Low,0.384,1.769726,1.692,0.0309,1777.93,0.0611,1324.31,0.011,0.844,0.002611,-0.16436,-0.01458,51259.6,-0.012,198938.4,0.037,157829.4,0.029,205693.8,0.066,4.76,-0.16
Ireland,Medium,0.858,7.625952,7.814,-0.0031,65800.61,0.0814,4.76,0.0103,0.7808,0.003619,-0.07144,-0.06752,2756.6,0.030,117479.2,0.087,7232.6,-0.018,68839.4,0.157,0.15,7.23
"Iran, Islamic Rep.",Medium,0.847,7.731029,7.711,-0.0015,4972.42,-0.1271,79.6,0.0135,0.6304,0.012294,0.03082,0.00229,48652.2,0.082,19086,0.059,1184.8,0.077,31261.2,0.014,12.48,0.03
Iraq,Medium,0.689,4.897443,4.742,-0.0012,5355.59,-0.0535,36.52,0.03,0.7014,0.007177,-0.42272,-0.1181,64284.6,0.038,77,-0.154,4583.666667,0.000,32109,0.000,0.95,-0.09
Iceland,Medium,0.795,6.242124,6.243,-0.0011,63199.26,0.0749,0.34,0.0173,0.9358,0.006028,-0.27102,-0.08759,2040,0.048,616.8,0.011,1530.2,0.085,3962,0.110,1.96,-0.01
Israel,Medium,0.842,7.1564,7.592,-0.0362,38764.79,0.0269,8.55,0.0196,0.6576,0.007641,-0.00297,-0.01848,1563.4,0.058,58610.2,-0.016,9669.6,-0.031,52515.2,0.033,0.07,-0.45
Italy,Medium,0.716,5.378562,5.453,-0.0141,32724.06,-0.0088,60.62,0.0006,0.9408,0.007312,-0.01049,-0.02067,28250,-0.001,415780,0.018,79630.2,-0.024,306082.4,0.035,0.51,-3.84
Jamaica,Medium,0.516,2.834465,2.625,0.0143,5003.21,0.0137,2.91,0.0053,0.9122,0.002421,0.12395,0.019313,980.6,0.107,109.4,-0.080,1432.2,-0.018,2976.6,0.051,4.49,-0.06
Jordan,Medium,0.526,2.556719,2.671,-0.0251,4202.12,0.0125,9.49,0.0317,0.7318,0.001369,0.1744,0.057764,605,0.035,5741.8,0.005,4376.4,-0.014,11211,0.007,1.81,-1.35
Japan,Medium,0.9,8.910617,9.186,-0.0251,38307.21,-0.0082,126.95,-0.0014,0.8848,0.002036,0.01002,-0.00567,29129.4,-0.017,591682,0.007,207135.8,-0.037,395970,0.016,0.98,0.32
Kazakhstan,High,0.921,12.02378,12.15,-0.0508,10018.62,-0.0884,17.79,0.0141,0.9116,0.003305,0.01326,-0.00588,44204.8,-0.020,7312.2,-0.005,2950.2,-0.044,25085.4,-0.064,8.28,0.13
Kenya,Low,0.147,0.350791,0.359,0.027,1575.92,0.0541,49.05,0.0246,0.7284,-0.000272,0.39341,0.01676,740.8,0.278,1818.6,-0.040,3145,0.010,10794,0.023,6.49,-0.01
Kyrgyz Republic,Low,0.374,1.724579,1.646,0.0087,1214.49,0.0008,6.08,0.0203,0.6914,0.004665,-0.60868,-0.04686,237.6,0.249,423.4,0.019,820.6,0.016,3131,0.020,3.83,1.14
Cambodia,Low,0.211,0.636234,0.602,0.1121,1284.68,0.0769,15.76,0.0158,0.5756,0.009136,-1.37167,-0.07504,22,0.278,9027.8,0.145,1173.8,0.754,10101.6,0.154,2.69,0.18
Kiribati,Low,0.237,0.662179,0.638,0.0364,1627.72,0.0003,0.11,0.0143,0.8092,0.006985,1.08324,0.040027,0.6,0.000,1.6,0.000,12.6,-0.097,59.4,0.142,1.10,-0.20
St. Kitts and Nevis,Medium,0.684,4.872529,4.726,0.0153,19314.71,0.0404,0.05,0.0082,0.7752,0.002593,0.0029,-0.02507,0,0.000,31,-0.001,7.8,0.512,222.4,0.057,-0.62,-3.25
"Korea, Rep.",High,0.916,12.08918,11.968,0.006,30462.09,0.0399,51.19,0.0046,0.6238,0.00652,-0.06205,-0.03782,50994.6,0.015,490216,0.022,155670.8,0.002,283992.2,0.037,1.27,0.13
Kuwait,High,0.995,21.82711,22.411,-0.0229,32948.72,-0.0993,3.94,0.0325,0.8026,0.003508,-0.00067,0.035126,59974.4,-0.048,4993.2,0.005,1092.4,0.108,25789.4,0.039,2.42,-0.18
Lao PDR,Low,0.432,2.261864,1.903,0.2336,2297.74,0.0653,6.85,0.0154,0.6018,0.009123,-0.42792,-0.027,1752.8,0.234,907.8,0.227,772.6,0.080,3750.6,0.139,1.97,0.04
Lebanon,Medium,0.637,4.028438,4.12,0.0048,7776.69,0.0029,6.63,0.0299,0.7456,-0.002632,-0.16043,-0.0481,280,-0.068,1603.8,-0.013,4438.6,-0.034,10728.6,-0.002,1.54,-2.11
Libya,Medium,0.884,8.936956,8.623,-0.0003,5694.77,-0.12,6.51,0.0111,0.7094,-0.010238,0,0,17485.4,0.087,317,-0.029,1755.333333,0.000,5126.333333,0.000,0.00,0.00
St. Lucia,Low,0.447,2.11912,2.055,0.032,10537.52,0.0374,0.18,0.0049,0.505,0.004829,-0.08546,-0.08619,22.6,0.132,63.2,-0.153,128.8,0.026,335.4,0.031,0.30,3.32
Sri Lanka,Low,0.289,0.967933,0.987,0.0636,3937.12,0.0229,21.21,0.0103,0.898,0.005164,0.00344,0.007566,336.2,0.668,7582.2,0.029,3583.8,0.021,13370.2,0.060,4.15,-0.02
Lesotho,Low,0.326,1.201269,1.139,0.0146,1131,0.0015,2.08,0.0077,0.5104,0.013155,0.07217,-0.05748,115.8,5.467,500.6,0.267,208,0.063,950.2,-0.047,4.88,0.10
Lithuania,Medium,0.621,4.050303,3.905,0.0149,16365.58,0.0339,2.87,-0.0108,0.8674,0.006763,-0.10871,-0.0482,5036.4,-0.043,18030,0.046,6838,-0.036,19971.2,0.054,1.31,-1.92
Luxembourg,High,0.968,15.7334,15.804,-0.041,112575.81,-0.0079,0.58,0.0227,0.909,0.002873,-0.01129,-0.03252,790.2,-0.001,14058,-0.026,3475.4,-0.024,17111.6,-0.015,0.93,0.71
Latvia,Medium,0.6,3.897602,3.725,0.0128,15467.41,0.0302,1.96,-0.0086,0.854,0.005657,0.0106,0.022463,1056.2,-0.026,8483.2,0.045,1970.6,-0.029,11419.8,0.043,1.28,-0.66
Morocco,Low,0.405,1.838322,1.822,0.0086,3041.22,0.005,35.12,0.0134,0.4394,0.016255,0.11121,-0.02133,2214.4,-0.083,17063.4,0.082,9541.6,-0.014,28761.4,0.058,1.24,0.53
Moldova,Medium,0.537,3.077202,2.913,0.0454,3336.35,0.037,2.79,-0.0109,0.7318,0.002211,-0.39077,-0.02545,43.2,-0.057,1210.4,0.040,647.8,0.034,3122.4,0.038,6.15,0.03
Madagascar,Low,0.047,0.128515,0.132,-0.0003,502.66,-0.0088,24.91,0.0272,0.5236,0.00384,-0.3744,-0.02022,740,0.117,723.6,0.056,692.8,0.033,1969.8,0.119,7.34,0.10
Maldives,Medium,0.563,3.588201,3.429,0.0553,9319.72,0.0504,0.48,0.0441,0.727,0.00696,-0.01427,-0.00737,2.8,0.033,0.4,0.000,463,0.079,1294,0.180,1.25,0.42
Mexico,Medium,0.611,3.754795,3.819,-0.0113,9652.98,-0.0236,123.3,0.0121,0.6128,0.004273,0.05034,0.014766,35645.2,-0.044,320487.8,0.048,41010,0.085,324506.6,0.033,4.10,0.14
North Macedonia,Medium,0.579,3.592391,3.656,-0.0248,5413.22,0.027,2.08,0.0007,0.8126,0.003506,-0.34143,-0.03731,342.2,0.082,4417.2,0.129,1920.2,0.060,4644.8,0.086,0.40,-1.56
Mali,Low,0.105,0.272516,0.239,0.0857,821.06,0.0183,17.99,0.0301,0.4232,0.008592,0.03114,0.004574,19.8,-0.149,278.4,0.006,1075.2,0.040,2330,0.042,0.52,-1.37
Malta,Medium,0.595,3.640212,3.705,-0.1333,27268.06,0.04,0.46,0.0262,0.8842,0.006153,-0.05122,-0.08636,380.8,0.060,2220.8,-0.011,1547.2,0.053,4021.4,0.025,0.92,0.47
Myanmar,Low,0.163,0.549581,0.459,0.149,1188.95,0.0125,53.02,0.0071,0.6394,0.006651,-1.12577,-0.05499,4452,0.045,3966,0.301,2975.2,0.257,11742,0.078,6.56,0.14
Montenegro,Medium,0.584,3.95402,3.677,0.0171,7510.31,0.0367,0.62,0.0003,0.666,0.01094,-0.27352,-0.03677,198.4,-0.016,101,0.104,324.2,0.012,1538.6,0.087,1.11,-3.07
Mongolia,Medium,0.784,6.612685,6.171,0.0092,3907.24,-0.0123,3.06,0.0193,0.819,0.003673,-0.38264,-0.03527,4665,0.148,162.8,0.050,1056,0.007,2885.8,0.021,5.97,0.83
Mozambique,Low,0.079,0.214102,0.204,0.0925,531.5,-0.0699,27.86,0.0291,0.5642,0.012923,0.12655,0.007778,2935.8,0.140,509.6,0.312,1745,-0.056,4075.2,-0.054,8.51,0.60
Mauritania,Low,0.253,0.854941,0.768,0.0808,1599.17,-0.0278,4.17,0.029,0.794,0.005594,0.90329,0.068589,810.8,-0.120,4.4,0.000,701.2,0.114,2048.4,-0.022,2.72,0.02
Mauritius,Medium,0.547,3.237752,3.207,0.0143,10157.85,0.0278,1.26,0.0011,0.7684,0.005237,-0.09492,-0.03998,30.4,0.307,1433.2,-0.014,930,0.030,2908.6,0.025,2.47,0.34
Malawi,Low,0.032,0.082733,0.078,0.0215,423.68,0.0655,17.21,0.0275,0.4712,0.009485,-1.41465,-0.05884,12,1.606,136.8,0.103,313.8,-0.042,1792.8,0.011,18.27,-0.12
Malaysia,Medium,0.837,7.631608,7.531,0.003,10546.3,0.0043,30.69,0.0136,0.7994,0.005048,-0.27222,-0.04117,44869.6,-0.012,144121,0.046,36506.6,0.022,133644.2,0.024,2.42,0.05
Namibia,Low,0.4,1.740611,1.798,0.0025,5173.8,0.0025,2.36,0.0185,0.5858,0.00968,-0.07413,-0.00761,1724.8,0.160,2045,0.162,1650.6,0.170,4927,0.031,5.18,0.04
Niger,Low,0.042,0.102212,0.099,0.0096,527.49,0.0028,20.82,0.0393,0.7636,0.005011,0.84652,0.029931,546.4,-0.145,131.2,0.275,112.4,0.058,1269.8,0.100,1.18,-0.98
Nigeria,Low,0.221,0.665431,0.62,0.0044,2391.76,-0.084,186.05,0.0266,0.9502,0.002531,0.2427,0.003939,51802.4,-0.002,2638.8,0.601,9661,0.113,22842.4,0.029,12.27,0.12
Nicaragua,Low,0.258,0.799632,0.825,0.0157,2053.04,0.0199,6.3,0.013,0.528,0.00572,-0.27737,-0.01551,51,0.017,2121.6,0.019,860.2,0.038,4535.8,0.098,4.47,-0.05
Netherlands,Medium,0.895,8.795786,9.078,-0.0134,49117.38,-0.0005,17.04,0.005,0.6556,0.006201,-0.01753,-0.01812,109629.2,-0.021,419569.2,0.044,117495,-0.014,369987.4,0.049,1.00,0.43
Norway,Medium,0.826,7.115386,7.235,-0.0137,79919.96,-0.0544,5.23,0.009,0.542,0.010859,0.08403,0.059122,74088.6,-0.025,21525.4,-0.042,8475.2,0.034,63306.4,-0.002,2.48,0.13
